portfolio_key,chatgpt_project_name,github_org,github_project_number,github_project_title,github_project_url,linear_project_id,linear_project_name,linear_project_url,slack_workspace_id,slack_channel_id,slack_channel_name,slack_channel_url
3fa-app,3fa-app,3FA-app,1,3FA-app-project,https://github.com/orgs/3FA-app/projects/1,4aff8a2b-092b-40c8-8af6-820e1538c4a7,github.com/3FA-app,https://linear.app/denman/project/githubcom3fa-app-c3db52220894,T01B3C83PMK,C0BL6BEDYFK,3fa-app,https://oresoftware-workspace.slack.com/archives/C0BL6BEDYFK
agent-pontifex,agent-pontifex,agent-pontifex,1,agent-pontifex-project,https://github.com/orgs/agent-pontifex/projects/1,71806431-748e-4332-b03a-820079d61ec0,github.com/agent-pontifex,https://linear.app/denman/project/githubcomagent-pontifex-1d2deb2be3c7,T01B3C83PMK,C0BMTHH0HMH,agent-pontifex,https://oresoftware-workspace.slack.com/archives/C0BMTHH0HMH
akrion-sim,akrion-sim,akrion-sim,1,akrion-sim-project,https://github.com/orgs/akrion-sim/projects/1,921fcb5b-5a3d-44ef-8663-a78121b476df,github.com/akrion-sim,https://linear.app/denman/project/githubcomakrion-sim-c66c5e5e8f12,T01B3C83PMK,C0BL15P8P3P,akrion-sim,https://oresoftware-workspace.slack.com/archives/C0BL15P8P3P
anticaptrad,anticaptrad,anticaptrad,1,anticaptrad-project,https://github.com/orgs/anticaptrad/projects/1,17fc7fee-7a7b-41ba-8e6e-919d7866406e,github.com/anticaptrad,https://linear.app/denman/project/githubcomanticaptrad-e8b18d73b7f5,T01B3C83PMK,C0BMWCYEX3P,anticaptrad,https://oresoftware-workspace.slack.com/archives/C0BMWCYEX3P
athlet-o,athlet-o,athlet-o,1,athlet-o-project,https://github.com/orgs/athlet-o/projects/1,0de9ab82-98b3-4c1d-950b-2020d80bbccc,github.com/athlet-o,https://linear.app/denman/project/githubcomathlet-o-b5a995fed9bb,T01B3C83PMK,C0BLYPTPSFJ,athlet-o,https://oresoftware-workspace.slack.com/archives/C0BLYPTPSFJ
benefactor-cc,benefactor-cc,benefactor-cc,1,benefactor-cc-project,https://github.com/orgs/benefactor-cc/projects/1,e1db74d7-4fa3-4580-851d-ca8fc8145127,github.com/benefactor-cc,https://linear.app/denman/project/githubcombenefactor-cc-6bef502a1ef0,T01B3C83PMK,C0BKP367N95,benefactor-cc,https://oresoftware-workspace.slack.com/archives/C0BKP367N95
canonical-cloud,canonical-cloud,canonical-cloud,1,canonical-cloud-project,https://github.com/orgs/canonical-cloud/projects/1,9b3cec23-bc6f-4f8d-a696-2bc8a918e86a,github.com/canonical-cloud,https://linear.app/denman/project/githubcomcanonical-cloud-1659c8ea1adf,T01B3C83PMK,C0BMH08UD44,canonical-cloud,https://oresoftware-workspace.slack.com/archives/C0BMH08UD44
channelsiege,channelsiege,channelsiege,1,channelsiege-project,https://github.com/orgs/channelsiege/projects/1,05af31ea-abce-4425-bf95-9fd24957d5fb,github.com/channelsiege,https://linear.app/denman/project/githubcomchannelsiege-6eecb913b93e,T01B3C83PMK,C0BMWCTMQDT,channelsiege,https://oresoftware-workspace.slack.com/archives/C0BMWCTMQDT
claritas-viz,claritas-viz,claritas-viz,1,claritas-viz-project,https://github.com/orgs/claritas-viz/projects/1,ff47fc82-5612-4bf6-a8cc-cc23da267931,github.com/claritas-viz,https://linear.app/denman/project/githubcomclaritas-viz-09fcc5d7dd9e,T01B3C83PMK,C0BMVSD3P5K,claritas-viz,https://oresoftware-workspace.slack.com/archives/C0BMVSD3P5K
cliptown,cliptown,cliptown,1,cliptown-project,https://github.com/orgs/cliptown/projects/1,83b03121-db08-4e34-a69f-99fd1c873ced,github.com/cliptown,https://linear.app/denman/project/githubcomcliptown-adf62fab3f42,T01B3C83PMK,C0BLYPGGFH6,cliptown,https://oresoftware-workspace.slack.com/archives/C0BLYPGGFH6
daedalus-fab,daedalus-fab,daedalus-fab,1,daedalus-fab-project,https://github.com/orgs/daedalus-fab/projects/1,b0356cba-8865-40d9-82f4-48f39ca2e396,github.com/daedalus-fab,https://linear.app/denman/project/githubcomdaedalus-fab-6d311a6d8d19,T01B3C83PMK,C0BKP3DDDPZ,daedalus-fab,https://oresoftware-workspace.slack.com/archives/C0BKP3DDDPZ
dancing-dragons,dancing-dragons,dancing-dragons,4,dancing-dragons-project,https://github.com/orgs/dancing-dragons/projects/4,099aeb3b-9d3b-47a4-9fe5-ed0fd2f27763,github.com/dancing-dragons,https://linear.app/denman/project/githubcomdancing-dragons-d5bf7fdb3b92,T01B3C83PMK,C0BMWM4J6SH,dancing-dragons,https://oresoftware-workspace.slack.com/archives/C0BMWM4J6SH
declarative-migrations,declarative-migrations,declarative-migrations,1,declarative-migrations-project,https://github.com/orgs/declarative-migrations/projects/1,78d51c47-c6ac-472c-ba3e-525461971027,github.com/declarative-migrations,https://linear.app/denman/project/githubcomdeclarative-migrations-ffa3841a100d,T01B3C83PMK,C0BN3FP4DV2,declarative-migrations,https://oresoftware-workspace.slack.com/archives/C0BN3FP4DV2
discrete-event-systems,discrete-event-systems,discrete-event-systems,1,discrete-event-systems-project,https://github.com/orgs/discrete-event-systems/projects/1,b352c0c6-02f5-4a5a-8460-017aedb5352f,github.com/discrete-event-systems,https://linear.app/denman/project/githubcomdiscrete-event-systems-4a3086ae0c45,T01B3C83PMK,C0BMZQGA410,discrete-event-systems,https://oresoftware-workspace.slack.com/archives/C0BMZQGA410
drone-mngr,drone-mngr,drone-mngr,1,drone-mngr-project,https://github.com/orgs/drone-mngr/projects/1,89e8fc0d-283c-485a-94ac-a3d31917a64b,github.com/drone-mngr,https://linear.app/denman/project/githubcomdrone-mngr-8ac391ac308d,T01B3C83PMK,C0BMWD264TF,drone-mngr,https://oresoftware-workspace.slack.com/archives/C0BMWD264TF
fanwaave,fanwaave,fanwaave,1,fanwaave-project,https://github.com/orgs/fanwaave/projects/1,d765e227-5726-42c8-8643-a8bd9e5a9a8c,github.com/fanwaave,https://linear.app/denman/project/githubcomfanwaave-6ba038b59dbc,T01B3C83PMK,C0BN3FMEJGL,fanwaave,https://oresoftware-workspace.slack.com/archives/C0BN3FMEJGL
fiducia-cloud,fiducia-cloud,fiducia-cloud,1,fiducia-cloud-project,https://github.com/orgs/fiducia-cloud/projects/1,d9e89bd3-19da-47f3-9bf7-6dc8cc910b70,github.com/fiducia-cloud,https://linear.app/denman/project/githubcomfiducia-cloud-8fd5e1bec9d3,T01B3C83PMK,C0BLT1GCV32,fiducia-cloud,https://oresoftware-workspace.slack.com/archives/C0BLT1GCV32
fifa-math,fifa-math,fifa-math,1,fifa-math-project,https://github.com/orgs/fifa-math/projects/1,1ffb64f1-af3f-4b5e-b6ac-55d00ee52b74,github.com/fifa-math,https://linear.app/denman/project/githubcomfifa-math-06015d19054a,T01B3C83PMK,C0BMB9HG83G,fifa-math,https://oresoftware-workspace.slack.com/archives/C0BMB9HG83G
file-tunnel,file-tunnel,file-tunnel,1,file-tunnel-project,https://github.com/orgs/file-tunnel/projects/1,0cb3346d-19e0-4aff-8758-c5d5a4a1ed80,github.com/file-tunnel,https://linear.app/denman/project/githubcomfile-tunnel-f46884af1012,T01B3C83PMK,C0BMT1K9MBM,file-tunnel,https://oresoftware-workspace.slack.com/archives/C0BMT1K9MBM
